Place,Name,Year of birth,Country code,Country,Time,Event
Relay,"VAZAIOS, Andreas",1994,GRE,Greece,48.65,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"OSTROWSKI, Karol",1999,POL,Poland,48.67,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"CORREIA, Breno",1999,BRA,Brazil,48.67,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"STJEPANOVIC, Velimir",1993,SRB,Serbia,48.74,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"CURRY, Brooks",2001,USA,United States,48.84,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"WIERLING, Damian",1996,GER,Germany,48.96,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"KORSTANJE, Nyls",1999,NED,Netherlands,49.15,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"MCEVOY, Cameron",1994,AUS,Australia,49.18,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
1.0,"DEAN, Thomas",2000,GBR,Great Britain,1:44.22,"Men, 200m Freestyle, Final, Open"
2.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:44.26,"Men, 200m Freestyle, Final, Open"
3.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:44.66,"Men, 200m Freestyle, Final, Open"
4.0,"POPOVICI, David",2004,ROU,Romania,1:44.68,"Men, 200m Freestyle, Final, Open"
5.0,"MALYUTIN, Martin",1999,RUS,Russia,1:45.01,"Men, 200m Freestyle, Final, Open"
6.0,"SMITH, Kieran S",2000,USA,United States,1:45.12,"Men, 200m Freestyle, Final, Open"
7.0,"HWANG, Sun Woo",2003,KOR,Korea,1:45.26,"Men, 200m Freestyle, Final, Open"
8.0,"RAPSYS, Danas",1995,LTU,Lithuania,1:45.78,"Men, 200m Freestyle, Final, Open"
1.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:44.60,"Men, 200m Freestyle, Semifinal, Open"
2.0,"SMITH, Kieran S",2000,USA,United States,1:45.07,"Men, 200m Freestyle, Semifinal, Open"
3.0,"RAPSYS, Danas",1995,LTU,Lithuania,1:45.32,"Men, 200m Freestyle, Semifinal, Open"
4.0,"DEAN, Thomas",2000,GBR,Great Britain,1:45.34,"Men, 200m Freestyle, Semifinal, Open"
5.0,"MALYUTIN, Martin",1999,RUS,Russia,1:45.45,"Men, 200m Freestyle, Semifinal, Open"
6.0,"HWANG, Sun Woo",2003,KOR,Korea,1:45.53,"Men, 200m Freestyle, Semifinal, Open"
7.0,"POPOVICI, David",2004,ROU,Romania,1:45.68,"Men, 200m Freestyle, Semifinal, Open"
8.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:45.71,"Men, 200m Freestyle, Semifinal, Open"
9.0,"NEILL, Thomas",2002,AUS,Australia,1:45.74,"Men, 200m Freestyle, Semifinal, Open"
10.0,"BALLO, Stefano",1993,ITA,Italy,1:45.84,"Men, 200m Freestyle, Semifinal, Open"
11.0,"DJAKOVIC, Antonio",2002,SUI,Switzerland,1:45.92,"Men, 200m Freestyle, Semifinal, Open"
12.0,"HAAS, Townley",1996,USA,United States,1:46.07,"Men, 200m Freestyle, Semifinal, Open"
13.0,"ZIRK, Kregor",1999,EST,Estonia,1:46.67,"Men, 200m Freestyle, Semifinal, Open"
14.0,"DI COLA, Stefano",1998,ITA,Italy,1:47.19,"Men, 200m Freestyle, Semifinal, Open"
15.0,"NEMETH, Nandor",1999,HUN,Hungary,1:47.20,"Men, 200m Freestyle, Semifinal, Open"
16.0,"STJEPANOVIC, Velimir",1993,SRB,Serbia,1:47.62,"Men, 200m Freestyle, Semifinal, Open"
1.0,"MATSUMOTO, Katsuhiro",1997,JPN,Japan,1:46.06,"Men, 200m Freestyle, Swim Off Prelim, Open"
2.0,"MAERTENS, Lukas",2001,GER,Germany,1:46.40,"Men, 200m Freestyle, Swim Off Prelim, Open"
1.0,"HWANG, Sun Woo",2003,KOR,Korea,1:44.62,"Men, 200m Freestyle, Prelim, Open"
2.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:45.05,"Men, 200m Freestyle, Prelim, Open"
3.0,"DEAN, Thomas",2000,GBR,Great Britain,1:45.24,"Men, 200m Freestyle, Prelim, Open"
4.0,"POPOVICI, David",2004,ROU,Romania,1:45.32,"Men, 200m Freestyle, Prelim, Open"
5.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:45.37,"Men, 200m Freestyle, Prelim, Open"
6.0,"MALYUTIN, Martin",1999,RUS,Russia,1:45.50,"Men, 200m Freestyle, Prelim, Open"
7.0,"BALLO, Stefano",1993,ITA,Italy,1:45.80,"Men, 200m Freestyle, Prelim, Open"
8.0,"NEILL, Thomas",2002,AUS,Australia,1:45.81,"Men, 200m Freestyle, Prelim, Open"
9.0,"RAPSYS, Danas",1995,LTU,Lithuania,1:45.84,"Men, 200m Freestyle, Prelim, Open"
10.0,"HAAS, Townley",1996,USA,United States,1:45.86,"Men, 200m Freestyle, Prelim, Open"
11.0,"ZIRK, Kregor",1999,EST,Estonia,1:46.10,"Men, 200m Freestyle, Prelim, Open"
12.0,"NEMETH, Nandor",1999,HUN,Hungary,1:46.19,"Men, 200m Freestyle, Prelim, Open"
13.0,"SMITH, Kieran S",2000,USA,United States,1:46.20,"Men, 200m Freestyle, Prelim, Open"
14.0,"STJEPANOVIC, Velimir",1993,SRB,Serbia,1:46.26,"Men, 200m Freestyle, Prelim, Open"
15.0,"DJAKOVIC, Antonio",2002,SUI,Switzerland,1:46.37,"Men, 200m Freestyle, Prelim, Open"
16.0,"DI COLA, Stefano",1998,ITA,Italy,1:46.67,"Men, 200m Freestyle, Prelim, Open"
17.0,"MATSUMOTO, Katsuhiro",1997,JPN,Japan,1:46.69,"Men, 200m Freestyle, Prelim, Open"
17.0,"MAERTENS, Lukas",2001,GER,Germany,1:46.69,"Men, 200m Freestyle, Prelim, Open"
19.0,"HEIDTMANN, Jacob",1994,GER,Germany,1:46.73,"Men, 200m Freestyle, Prelim, Open"
20.0,"POTHAIN, Jordan",1994,FRA,France,1:46.75,"Men, 200m Freestyle, Prelim, Open"
21.0,"JI, Xinjie",1997,CHN,China,1:46.86,"Men, 200m Freestyle, Prelim, Open"
22.0,"WINNINGTON, Elijah",2000,AUS,Australia,1:46.99,"Men, 200m Freestyle, Prelim, Open"
23.0,"HANSON, Robin",2001,SWE,Sweden,1:47.02,"Men, 200m Freestyle, Prelim, Open"
24.0,"SARTORI, Murilo",2002,BRA,Brazil,1:47.11,"Men, 200m Freestyle, Prelim, Open"
24.0,"GIREV, Ivan",2000,RUS,Russia,1:47.11,"Men, 200m Freestyle, Prelim, Open"
26.0,"SANCOV, Alexei",1999,MDA,Moldova,1:47.46,"Men, 200m Freestyle, Prelim, Open"
27.0,"LOKTEV, Denis",2000,ISR,Israel,1:47.68,"Men, 200m Freestyle, Prelim, Open"
28.0,"ATSU, Jonathan",1996,FRA,France,1:47.75,"Men, 200m Freestyle, Prelim, Open"
29.0,"SOBERS, Alex",1998,BAR,Barbados,1:48.09,"Men, 200m Freestyle, Prelim, Open"
30.0,"KOZMA, Dominik",1991,HUN,Hungary,1:48.87,"Men, 200m Freestyle, Prelim, Open"
31.0,"MARKOS, Dimitrios",2001,GRE,Greece,1:49.16,"Men, 200m Freestyle, Prelim, Open"
32.0,"SIM, Welson",1997,MAS,Malaysia,1:49.24,"Men, 200m Freestyle, Prelim, Open"
33.0,"SCHREUDERS, Mikel",1998,ARU,Aruba,1:49.43,"Men, 200m Freestyle, Prelim, Open"
34.0,"UNLU, Baturalp",2002,TUR,Turkiye,1:49.75,"Men, 200m Freestyle, Prelim, Open"
35.0,"VARGAS, Joaquin",2002,PER,Peru,1:49.93,"Men, 200m Freestyle, Prelim, Open"
36.0,"AL-YAMANI, Mokhtar",1997,YEM,Yemen,1:49.97,"Men, 200m Freestyle, Prelim, Open"
37.0,"ROBERTS, Wesley",1997,COK,Cook Islands,1:50.41,"Men, 200m Freestyle, Prelim, Open"
38.0,"FREEMAN, James",2001,BOT,Botswana,1:52.87,"Men, 200m Freestyle, Prelim, Open"
39.0,"HASSOUNA, Audai",1998,LBA,Libya,1:56.27,"Men, 200m Freestyle, Prelim, Open"
Relay,"SMITH, Kieran S",2000,USA,United States,1:44.74,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"MALYUTIN, Martin",1999,RUS,Russia,1:45.69,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"DEAN, Thomas",2000,GBR,Great Britain,1:45.72,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"DJAKOVIC, Antonio",2002,SUI,Switzerland,1:45.77,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"BALLO, Stefano",1993,ITA,Italy,1:45.77,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"SCHEFFER, Fernando",1998,BRA,Brazil,1:45.93,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"GRAHAM, Alexander",1995,AUS,Australia,1:46.00,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"MAERTENS, Lukas",2001,GER,Germany,1:46.68,"200m Freestyle - Men, 4 x 200m Freestyle, Final, Open"
Relay,"GRAHAM, Alexander",1995,AUS,Australia,1:45.72,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"KIBLER, Drew",2000,USA,United States,1:46.12,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"RICHARDS, Matthew",2002,GBR,Great Britain,1:46.35,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"DJAKOVIC, Antonio",2002,SUI,Switzerland,1:46.41,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"DOVGALYUK, Mikhail",1995,RUS,Russia,1:46.56,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"LOKTEV, Denis",2000,ISR,Israel,1:46.64,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"MC MILLAN, Jack",2000,IRL,Ireland,1:46.66,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"DI COLA, Stefano",1998,ITA,Italy,1:47.00,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"JI, Xinjie",1997,CHN,China,1:47.14,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"MAERTENS, Lukas",2001,GER,Germany,1:47.27,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"POTHAIN, Jordan",1994,FRA,France,1:47.30,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"HOLLO, Balazs",1999,HUN,Hungary,1:47.41,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"MELO, Luiz Altamir",1996,BRA,Brazil,1:48.01,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"YANAGIMOTO, Konosuke",2003,JPN,Japan,1:48.50,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"MAJCHRZAK, Kacper",1992,POL,Poland,1:49.32,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
Relay,"LEE, Yooyeon",2000,KOR,Korea,1:49.55,"200m Freestyle - Men, 4 x 200m Freestyle, Prelim, Open"
1.0,"HAFNAOUI, Ayoub",2002,TUN,Tunisia,3:43.36,"Men, 400m Freestyle, Final, Open"
2.0,"MCLOUGHLIN, Jack",1995,AUS,Australia,3:43.52,"Men, 400m Freestyle, Final, Open"
3.0,"SMITH, Kieran S",2000,USA,United States,3:43.94,"Men, 400m Freestyle, Final, Open"
4.0,"AUBOECK, Felix",1996,AUT,Austria,3:44.07,"Men, 400m Freestyle, Final, Open"
4.0,"MUEHLLEITNER, Henning",1997,GER,Germany,3:44.07,"Men, 400m Freestyle, Final, Open"
6.0,"DETTI, Gabriele",1994,ITA,Italy,3:44.88,"Men, 400m Freestyle, Final, Open"
7.0,"WINNINGTON, Elijah",2000,AUS,Australia,3:45.20,"Men, 400m Freestyle, Final, Open"
8.0,"MITCHELL, Jake",2001,USA,United States,3:45.39,"Men, 400m Freestyle, Final, Open"
1.0,"MUEHLLEITNER, Henning",1997,GER,Germany,3:43.67,"Men, 400m Freestyle, Prelim, Open"
2.0,"AUBOECK, Felix",1996,AUT,Austria,3:43.91,"Men, 400m Freestyle, Prelim, Open"
3.0,"DETTI, Gabriele",1994,ITA,Italy,3:44.67,"Men, 400m Freestyle, Prelim, Open"
4.0,"WINNINGTON, Elijah",2000,AUS,Australia,3:45.20,"Men, 400m Freestyle, Prelim, Open"
4.0,"MCLOUGHLIN, Jack",1995,AUS,Australia,3:45.20,"Men, 400m Freestyle, Prelim, Open"
6.0,"SMITH, Kieran S",2000,USA,United States,3:45.25,"Men, 400m Freestyle, Prelim, Open"
7.0,"MITCHELL, Jake",2001,USA,United States,3:45.38,"Men, 400m Freestyle, Prelim, Open"
8.0,"HAFNAOUI, Ayoub",2002,TUN,Tunisia,3:45.68,"Men, 400m Freestyle, Prelim, Open"
9.0,"DJAKOVIC, Antonio",2002,SUI,Switzerland,3:45.82,"Men, 400m Freestyle, Prelim, Open"
10.0,"DE TULLIO, Marco",2000,ITA,Italy,3:45.85,"Men, 400m Freestyle, Prelim, Open"
11.0,"COSTA, Guilherme",1998,BRA,Brazil,3:45.99,"Men, 400m Freestyle, Prelim, Open"
12.0,"MAERTENS, Lukas",2001,GER,Germany,3:46.30,"Men, 400m Freestyle, Prelim, Open"
13.0,"RAPSYS, Danas",1995,LTU,Lithuania,3:46.32,"Men, 400m Freestyle, Prelim, Open"
14.0,"ELKAMESH, Marwan",1993,EGY,Egypt,3:46.94,"Men, 400m Freestyle, Prelim, Open"
15.0,"ZIRK, Kregor",1999,EST,Estonia,3:47.05,"Men, 400m Freestyle, Prelim, Open"
16.0,"MESTRE, Alfonso E",2001,VEN,Venezuela,3:47.14,"Men, 400m Freestyle, Prelim, Open"
17.0,"EGOROV, Aleksandr",2001,RUS,Russia,3:47.71,"Men, 400m Freestyle, Prelim, Open"
18.0,"ZOMBORI, Gabor",2002,HUN,Hungary,3:47.99,"Men, 400m Freestyle, Prelim, Open"
19.0,"JI, Xinjie",1997,CHN,China,3:48.27,"Men, 400m Freestyle, Prelim, Open"
20.0,"BIRD, Kieran",1999,GBR,Great Britain,3:48.55,"Men, 400m Freestyle, Prelim, Open"
21.0,"CHRISTIANSEN, Henrik",1996,NOR,Norway,3:48.88,"Men, 400m Freestyle, Prelim, Open"
22.0,"MALYUTIN, Martin",1999,RUS,Russia,3:49.49,"Men, 400m Freestyle, Prelim, Open"
23.0,"REID, Zac R",2000,NZL,New Zealand,3:49.85,"Men, 400m Freestyle, Prelim, Open"
24.0,"BAU, Martin",1994,SLO,Slovenia,3:52.56,"Men, 400m Freestyle, Prelim, Open"
25.0,"VARGAS, Joaquin",2002,PER,Peru,3:52.94,"Men, 400m Freestyle, Prelim, Open"
26.0,"LEE, Hojoon",2001,KOR,Korea,3:53.23,"Men, 400m Freestyle, Prelim, Open"
27.0,"CISTERNAS, Eduardo",2004,CHI,Chile,3:54.10,"Men, 400m Freestyle, Prelim, Open"
28.0,"AUBRY, David",1996,FRA,France,3:55.01,"Men, 400m Freestyle, Prelim, Open"
29.0,"PRAWIRA, Aflah",1997,INA,Indonesia,3:55.08,"Men, 400m Freestyle, Prelim, Open"
30.0,"ROBERTS, Wesley",1997,COK,Cook Islands,3:55.65,"Men, 400m Freestyle, Prelim, Open"
31.0,"MOGNE, Igor Araujo",1996,MOZ,Mozambique,3:56.56,"Men, 400m Freestyle, Prelim, Open"
32.0,"REVISHVILI, Irakli",1989,GEO,Georgia,3:57.49,"Men, 400m Freestyle, Prelim, Open"
33.0,"SIM, Welson",1997,MAS,Malaysia,3:58.25,"Men, 400m Freestyle, Prelim, Open"
34.0,"SOBERS, Alex",1998,BAR,Barbados,3:59.14,"Men, 400m Freestyle, Prelim, Open"
35.0,"FREEMAN, James",2001,BOT,Botswana,4:03.10,"Men, 400m Freestyle, Prelim, Open"
36.0,"DERKOSKI, Filip",2000,MKD,North Macedonia,4:03.34,"Men, 400m Freestyle, Prelim, Open"
Split,"PALTRINIERI, Gregorio",1994,ITA,Italy,3:50.55,"400m Freestyle - Men, 800m Freestyle, Final, Open"
Split,"FINKE, Robert C",1999,USA,United States,3:51.97,"400m Freestyle - Men, 800m Freestyle, Final, Open"
Split,"ROMANCHUK, Mykhaylo",1996,UKR,Ukraine,3:51.98,"400m Freestyle - Men, 800m Freestyle, Final, Open"
Split,"FROLOV, Sergiy",1992,UKR,Ukraine,3:51.98,"400m Freestyle - Men, 800m Freestyle, Final, Open"
Split,"WELLBROCK, Florian",1997,GER,Germany,3:51.99,"400m Freestyle - Men, 800m Freestyle, Final, Open"
Split,"FINKE, Robert C",1999,USA,United States,3:50.91,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"WELLBROCK, Florian",1997,GER,Germany,3:50.98,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"ROMANCHUK, Mykhaylo",1996,UKR,Ukraine,3:51.08,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"PALTRINIERI, Gregorio",1994,ITA,Italy,3:51.94,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"FROLOV, Sergiy",1992,UKR,Ukraine,3:52.62,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"NORGAARD, Alexander Aslak",2000,DEN,Denmark,3:53.17,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"JOHANSSON, Victor",1998,SWE,Sweden,3:53.20,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"IPSEN, Anton Oerskov",1994,DEN,Denmark,3:53.24,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"WIFFEN, Daniel",2001,IRL,Ireland,3:53.66,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"ASLAN, Yigit",2003,TUR,Turkiye,3:53.80,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"BRINEGAR, Michael",1999,USA,United States,3:55.07,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"MICKA, Jan",1995,CZE,Czechia,3:55.51,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"DRUZHININ, Ilya",1998,RUS,Russia,3:56.21,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"KALMAR, Akos",2000,HUN,Hungary,3:57.59,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"NGUYEN, Huy Hoang",2000,VIE,Vietnam,3:57.82,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"MARKOS, Dimitrios",2001,GRE,Greece,3:58.46,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"CHENG, Long",2000,CHN,China,3:58.51,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"LOPES, Jose Paulo",2000,POR,Portugal,3:58.64,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"CELIC, Vuk",1996,SRB,Serbia,3:59.21,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"ACOSTA, Marcelo",1996,ESA,El Salvador,3:59.74,"400m Freestyle - Men, 800m Freestyle, Prelim, Open"
Split,"WELLBROCK, Florian",1997,GER,Germany,3:53.45,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"PALTRINIERI, Gregorio",1994,ITA,Italy,3:53.88,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"ROMANCHUK, Mykhaylo",1996,UKR,Ukraine,3:54.18,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"FINKE, Robert C",1999,USA,United States,3:54.33,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"JERVIS, Daniel O",1996,GBR,Great Britain,3:54.75,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"MARTYNYCHEV, Kirill",2002,RUS,Russia,3:56.50,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"FROLOV, Sergiy",1992,UKR,Ukraine,3:57.50,"400m Freestyle - Men, 1500m Freestyle, Final, Open"
Split,"JERVIS, Daniel O",1996,GBR,Great Britain,3:52.67,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"WELLBROCK, Florian",1997,GER,Germany,3:53.69,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"FINKE, Robert C",1999,USA,United States,3:54.70,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"ROMANCHUK, Mykhaylo",1996,UKR,Ukraine,3:55.74,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"PALTRINIERI, Gregorio",1994,ITA,Italy,3:55.75,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"MARTYNYCHEV, Kirill",2002,RUS,Russia,3:56.06,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"FROLOV, Sergiy",1992,UKR,Ukraine,3:56.51,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"NORGAARD, Alexander Aslak",2000,DEN,Denmark,3:56.53,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"NGUYEN, Huy Hoang",2000,VIE,Vietnam,3:56.94,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"BRINEGAR, Michael",1999,USA,United States,3:57.37,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"KALMAR, Akos",2000,HUN,Hungary,3:57.53,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"GYURTA, Gergely",1991,HUN,Hungary,3:57.62,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"MICKA, Jan",1995,CZE,Czechia,3:57.69,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"JOHANSSON, Victor",1998,SWE,Sweden,3:57.74,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"NEILL, Thomas",2002,AUS,Australia,3:57.84,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"ACERENZA, Domenico",1995,ITA,Italy,3:57.99,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
Split,"IPSEN, Anton Oerskov",1994,DEN,Denmark,3:58.90,"400m Freestyle - Men, 1500m Freestyle, Prelim, Open"
